ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180008847,Clear,1.0
T20180008848,Clear,1.0
T20180008849,Raining,3.0
T20180008852,Clear,1.0
T20180008853,Raining,3.0
T20180008854,Clear,1.0
T20180008855,Clear,1.0
T20180008858,Raining,3.0
T20180008860,Raining,3.0
T20180008861,Clear,1.0
T20180008862,Clear,1.0
T20180008864,Raining,3.0
T20180008866,Clear,1.0
T20180008867,Clear,1.0
T20180008868,Raining,3.0
T20180008880,Raining,3.0
T20180008881,Raining,3.0
T20180008883,Clear,1.0
T20180008884,Raining,3.0
T20180008886,Clear,1.0
T20180008887,Clear,1.0
T20180008888,Raining,3.0
T20180008890,Clear,1.0
T20180008894,Raining,3.0
T20180008896,Clear,1.0
T20180008897,Raining,3.0
T20180008898,Clear,1.0
T20180008908,Raining,3.0
T20180008911,"Raining, Strong winds",2.33
T20180008914,Raining,3.0
T20180008917,Raining,3.0
T20180008921,Raining,3.0
T20180008924,"Raining, Strong winds",2.33
T20180008925,"Raining, Strong winds",2.33
T20180008927,"Raining, Strong winds",2.33
T20180008929,"Raining, Strong winds",2.33
T20180008932,Raining,3.0
T20180008934,Raining,3.0
T20180008938,"Raining, Strong winds",2.33
T20180008943,Raining,3.0
T20180008944,Raining,3.0
T20180008945,Raining,3.0
T20180008947,Raining,3.0
T20180008949,"Raining, Strong winds",2.33
T20180008951,Clear,1.0
T20180008953,Raining,3.0
T20180008955,Raining,3.0
T20180008957,Raining,3.0
T20180008959,Clear,1.0
T20180008960,Raining,3.0
T20180008961,Raining,3.0
T20180008963,Raining,3.0
T20180008967,Clear,1.0
T20180008969,Raining,3.0
T20180008971,Raining,3.0
T20180008976,Clear,1.0
T20180008978,"Clear, Strong winds",1.67
T20180008979,"Raining, Strong winds",2.33
T20180008980,Clear,1.0
T20180008981,"Raining, Strong winds",2.33
T20180008982,Clear,1.0
T20180008984,"Raining, Strong winds",2.33
T20180008985,Clear,1.0
T20180008987,Clear,1.0
T20180008988,Clear,1.0
T20180008993,Clear,1.0
T20180008995,Clear,1.0
T20180009000,Clear,1.0
