ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210009112,Dry,1.0
T20210009115,Dry,1.0
T20210009120,Dry,1.0
T20210009122,Dry,1.0
T20210009123,Wet,2.0
T20210009124,Dry,1.0
T20210009125,Dry,1.0
T20210009128,Dry,1.0
T20210009129,Dry,1.0
T20210009131,Dry,1.0
T20210009132,Dry,1.0
T20210009133,Dry,1.0
T20210009135,Dry,1.0
T20210009136,Dry,1.0
T20210009137,Dry,1.0
T20210009142,Wet,2.0
T20210009143,Dry,1.0
T20210009146,Dry,1.0
T20210009147,Dry,1.0
T20210009148,Wet,2.0
T20210009149,Wet,2.0
T20210009151,Dry,1.0
T20210009154,Wet,2.0
T20210009157,Wet,2.0
T20210009161,Dry,1.0
T20210009162,Wet,2.0
T20210009165,Dry,1.0
T20210009166,Wet,2.0
T20210009167,Dry,1.0
T20210009170,Dry,1.0
T20210009171,Wet,2.0
T20210009172,Wet,2.0
T20210009174,Wet,2.0
T20210009175,Wet,2.0
T20210009179,Dry,1.0
T20210009181,Wet,2.0
T20210009190,Wet,2.0
T20210009192,Wet,2.0
T20210009194,Dry,1.0
T20210009198,Dry,1.0
T20210009199,Dry,1.0
T20210009206,Dry,1.0
T20210009207,Dry,1.0
T20210009212,Wet,2.0
T20210009214,Wet,2.0
T20210009215,Dry,1.0
T20210009218,Dry,1.0
T20210009219,Wet,2.0
T20210009223,Dry,1.0
T20210009224,Dry,1.0
T20210009225,Dry,1.0
T20210009226,Dry,1.0
T20210009227,Wet,2.0
T20210009230,Dry,1.0
T20210009233,Dry,1.0
T20210009234,Dry,1.0
T20210009235,Dry,1.0
T20210009236,Dry,1.0
T20210009239,Dry,1.0
T20210009242,Wet,2.0
T20210009244,Wet,2.0
T20210009246,Wet,2.0
T20210009248,Dry,1.0
T20210009249,Dry,1.0
T20210009250,Dry,1.0
T20210009253,Wet,2.0
T20210009255,Dry,1.0
T20210009256,Wet,2.0
T20210009258,Dry,1.0
T20210009259,Dry,1.0
T20210009260,Dry,1.0
T20210009261,Dry,1.0
T20210009262,Dry,1.0
T20210009263,Dry,1.0
T20210009265,Wet,2.0
T20210009282,Dry,1.0
T20210009284,Dry,1.0
T20210009285,Dry,1.0
T20210009287,Dry,1.0
T20210009288,Dry,1.0
